no;tipe;deskripsi;contoh;
1;hasty generalization;menarik kesimpulan berdasarkan ukuran sampel yang kecil, daripada melihat statistik yang jauh lebih sesuai dengan situasi umum atau rata-rata.;Ayah saya merokok empat bungkus sehari sejak usia empat belas tahun dan hidup sampai usia enam puluh sembilan tahun. Oleh karena itu, merokok tidak mungkin berdampak buruk bagi Anda.;
2;False dilemma;Fales dilemma terjadi ketika hanya ada dua pilihan yang disajikan, namun ada lebih banyak pilihan, atau spektrum pilihan yang mungkin ada di antara dua pilihan yang ekstrem. Dilema yang salah biasanya ditandai dengan bahasa antara ini atau itu, tetapi bisa juga ditandai dengan tidak adanya pilihan. Variasi lainnya adalah trilema palsu, yaitu ketika tiga pilihan disajikan ketika ada lebih banyak pilihan.;Saya pikir Anda adalah orang yang baik, tapi Anda tidak ada di gereja hari ini.;
3;ad hominem ;menyerang orang yang membuat argumen, dan bukan argumen itu sendiri, ketika serangan terhadaporang tersebut sama sekali tidak relevan dengan argumen yang dibuat oleh orang tersebut.;Lawan saya menyarankan bahwa menurunkan pajak adalah ide yang bagus, ini datang dari seorang wanita yang makan segelas Ben and Jerry's setiap malam!;
4;appeal to fear;Ketika rasa takut, yang tidak didasarkan pada bukti atau alasan, digunakan sebagai motivator utama untuk membuat orang lain menerima ide, proposisi, atau kesimpulan.;Jika kita tidak menalangi produsen mobil besar, ekonomi AS akan runtuh. Oleh karena itu, kita perlu menalangi para produsen mobil.;
5;slippery slope;ketika peristiwa pertama yang relatif tidak signifikan disarankan untuk mengarah ke peristiwa yang lebih signifikan, yang pada gilirannya mengarah ke peristiwa yang lebih signifikan, dan seterusnya, hingga suatu peristiwa akhir yang signifikan tercapai, di mana hubungan setiap peristiwa tidak hanya tidak beralasan tetapi juga dengan setiap langkah menjadi semakin tidak mungkin. banyak peristiwa yang biasanya ada dalam kekeliruan ini, tetapi hanya dua yang benar-benar diperlukan-biasanya dihubungkan dengan “hal berikutnya yang anda ketahui...;"Jika Anda menerima bahwa kisah Adam dan Hawa adalah kiasan, maka Anda akan melakukan hal yang sama terhadap sebagian besar kisah-kisah Perjanjian Lama yang memiliki gaya sastra yang serupa. Setelah Anda berada di sana, Perjanjian Baru dan kisah Yesus tidak masuk akal, yang akan membuat Anda percaya bahwa kebangkitan Yesus adalah peristiwa �spiritual�. Setelah Anda menerima hal itu, Anda tidak akan menjadi seorang Kristen lagi; Anda akan menjadi seorang ateis yang kotor, kemudian Anda tidak akan memiliki moral dan mulai berhubungan seks dengan hewan-hewan yang bersifat seperti lumbung. Jadi, sebaiknya Anda memahami kisah Adam dan Hawa secara harfiah, sebelum frasa, �ayam itu kelihatannya enak,� memiliki arti yang sama sekali baru.";
6;appeal to common belief;ketika klaim bahwa sebagian besar atau banyak orang pada umumnya atau kelompok tertentu menerima suatu keyakinan sebagai sesuatu yang benar, maka hal tersebut disajikan sebagai bukti untuk klaim tersebut. menerima kepercayaan orang lain, atau kepercayaan banyak orang, tanpa meminta bukti mengapa orang tersebut menerima kepercayaan tersebut, adalah cara berpikir yang malas dan cara yang berbahaya dalam menerima informasi.;Hingga akhir abad ke-16, kebanyakan orang percaya bahwa bumi adalah pusat alam semesta. Hal ini dianggap sebagai alasan yang cukup kuat pada saat itu untuk menerima hal ini sebagai sesuatu yang benar.;
7;appeal to popularity;Menggunakan popularitas sebuah premis atau proposisi sebagai bukti kebenarannya. Ini adalah kekeliruan yang sangat sulit dikenali karena “akal sehat” kita mengatakan bahwa jika sesuatu itu populer, maka itu pasti baik/benar/valid, namun kenyataannya tidak demikian, terutama dalam masyarakat di mana pemasaran yang cerdik, pengaruh sosial dan politik, dan uang dapat membeli popularitas.;Polling Gallup tahun 2005 menemukan bahwa sekitar 25% orang Amerika Serikat yang berusia di atas 18 tahun percaya pada astrologi-atau bahwa posisi bintang dan planet dapat memengaruhi kehidupan manusia. Jumlahnya sekitar 75.000.000 orang. Oleh karena itu, pasti ada benarnya astrologi!
8;complex question fallacy;Sebuah pertanyaan yang mengandung praduga, yang mengimplikasikan sesuatu tetapi melindungi orang yang mengajukan pertanyaan dari tuduhan klaim palsu. Ini adalah bentuk wacana yang menyesatkan, dan merupakan kekeliruan ketika audiens tidak mendeteksi informasi yang diasumsikan tersirat dalam pertanyaan dan menerimanya sebagai fakta.;Berapa banyak penembakan di sekolah yang harus kita tolerir sebelum kita mengubah undang-undang senjata api?
9;Questionable Cause;Menyimpulkan bahwa satu hal menyebabkan hal lain, hanya karena keduanya sering terkait.;Setiap kali saya pakai kaos biru, tim bola saya menang. Jadi, kaos biru membawa keberuntungan.”
10;Circular Reasoning;Sebuah jenis penalaran di mana proposisi didukung oleh premis, yang pada gilirannya didukung oleh proposisi tersebut, sehingga membentuk lingkaran dalam penalaran di mana tidak ada informasi berguna yang dibagikan. Kesalahan penalaran ini seringkali cukup lucu.;Buku ini benar, karena yang menulis adalah orang yang pintar. Dan kita tahu dia pintar karena isi bukunya benar.;
11;Red herring;Mencoba mengalihkan argumen ke masalah lain yang dapat dijawab dengan lebih baik oleh orang yang mengalihkan argumen tersebut. Meskipun mirip dengan kesalahan logika “menghindari masalah”, red herring adalah pengalihan perhatian yang disengaja dengan tujuan mencoba meninggalkan argumen asli.;A: "Kenapa nilai matematikamu jelek?"\nB: "Ah, matematika kan nggak berguna, toh banyak orang sukses nggak bisa matematika." → B tidak menjawab pertanyaan penyebab nilai jelek, malah membawa topik tentang kegunaan matematika.;
